,founder_identifier_uuid,founder_image_url,download_url
342051,f36af52e-e0ad-fd96-04b7-75633851093d,https://res.cloudinary.com/crunchbase-production/image/upload/xifmkamwm1xhdjf52evy,https://images.crunchbase.com/image/upload/xifmkamwm1xhdjf52evy
334138,edd13692-a8c4-450a-b14b-f019b57c34f0,https://res.cloudinary.com/crunchbase-production/image/upload/kbyxi8ho1siqxsghoxwd,https://images.crunchbase.com/image/upload/kbyxi8ho1siqxsghoxwd
326885,e8b4b2f6-e79c-48b2-b491-38233e2ec63b,https://res.cloudinary.com/crunchbase-production/image/upload/puzktonjsdoiciez603p,https://images.crunchbase.com/image/upload/puzktonjsdoiciez603p
134575,5f8c140d-30fc-4433-92ba-d255ae3511bf,https://res.cloudinary.com/crunchbase-production/image/upload/bgazliwoo417lksfwaku,https://images.crunchbase.com/image/upload/bgazliwoo417lksfwaku
148187,692c539d-b293-4a6a-ab83-18ae40448fc7,https://res.cloudinary.com/crunchbase-production/image/upload/ena36fcaeq33keoqwpr4,https://images.crunchbase.com/image/upload/ena36fcaeq33keoqwpr4
318570,e2bdbe7a-e9f3-54da-8140-49d360738ce8,https://res.cloudinary.com/crunchbase-production/image/upload/znjrlc6era4rejoy4h7z,https://images.crunchbase.com/image/upload/znjrlc6era4rejoy4h7z
246673,af80921c-5772-4a17-8c62-35747014e264,https://res.cloudinary.com/crunchbase-production/image/upload/lfjt1gdb8nd0r3bnof1s,https://images.crunchbase.com/image/upload/lfjt1gdb8nd0r3bnof1s
344512,f52ed4d8-54a2-3bb1-e22e-d6a18d666dbe,https://res.cloudinary.com/crunchbase-production/image/upload/v1503490809/qsvsabolnhgzjsmiwgox.png,https://images.crunchbase.com/image/upload/qsvsabolnhgzjsmiwgox.png
43867,1efe3adb-3db8-c62e-a8ae-6daec6e9a826,https://res.cloudinary.com/crunchbase-production/image/upload/v1456555879/qadx4gss5cok3osiojyx.jpg,https://images.crunchbase.com/image/upload/qadx4gss5cok3osiojyx.jpg
260681,b975d9ba-4d05-4b50-959b-5365a7b614b1,https://res.cloudinary.com/crunchbase-production/image/upload/m2pzbhwdgsued5i9cogi,https://images.crunchbase.com/image/upload/m2pzbhwdgsued5i9cogi
