"","founder_identifier_uuid","founder_image_url","download_url"
"1","00082be1-4c28-c41f-6147-92d0e12629c8","https://res.cloudinary.com/crunchbase-production/image/upload/ix3sxcyp73nc85chfbg0","https://images.crunchbase.com/image/upload/ix3sxcyp73nc85chfbg0"
"2","00163642-b6d8-2548-f825-a3e814a49a7f","https://res.cloudinary.com/crunchbase-production/image/upload/v1449164806/ynwm50gtriz4h2gztt5d.jpg","https://images.crunchbase.com/image/upload/ynwm50gtriz4h2gztt5d.jpg"
"3","00358c10-7282-4e44-b851-540488e80272","https://res.cloudinary.com/crunchbase-production/image/upload/cx3zgoktufynl6tczaco","https://images.crunchbase.com/image/upload/cx3zgoktufynl6tczaco"
"5","005150d7-fc7d-6940-4759-70975cffa4d6","https://res.cloudinary.com/crunchbase-production/image/upload/v1459109289/bpff3k4tez1vecue1sv0.png","https://images.crunchbase.com/image/upload/bpff3k4tez1vecue1sv0.png"
"6","00555ecb-67ee-9e7b-237e-814c5fbab250","https://res.cloudinary.com/crunchbase-production/image/upload/v1488364858/egyprumq6cyfq8jvvf4m.jpg","https://images.crunchbase.com/image/upload/egyprumq6cyfq8jvvf4m.jpg"
"7","005f32ee-4edc-2df0-1d3c-3224e98ced95","https://res.cloudinary.com/crunchbase-production/image/upload/v1456992704/vd1bjbqht6dpzvwwcano.png","https://images.crunchbase.com/image/upload/vd1bjbqht6dpzvwwcano.png"
"8","0085f675-c27c-7020-29f7-ef6f5a8aff09","https://res.cloudinary.com/crunchbase-production/image/upload/v1431669377/vrauga5znu4ngaugokz4.png","https://images.crunchbase.com/image/upload/vrauga5znu4ngaugokz4.png"
"9","008d3721-30c3-3077-7afd-47e86a4db05a","https://res.cloudinary.com/crunchbase-production/image/upload/xevzpxeulocokg1axvf9","https://images.crunchbase.com/image/upload/xevzpxeulocokg1axvf9"
"10","008db42b-3660-91ba-3903-cdcc51799f10","https://res.cloudinary.com/crunchbase-production/image/upload/v1501296623/eqkuzfn3i2zxbdjnp9dl.png","https://images.crunchbase.com/image/upload/eqkuzfn3i2zxbdjnp9dl.png"
"11","00957c9d-ceba-6a92-65a3-d5cf0e7d9ec7","https://res.cloudinary.com/crunchbase-production/image/upload/v1458678133/snubzuzrmzjxskqnakq4.jpg","https://images.crunchbase.com/image/upload/snubzuzrmzjxskqnakq4.jpg"
"12","009af2ec-6cc3-d9fb-ac2a-ea58b901ec1c","https://res.cloudinary.com/crunchbase-production/image/upload/v1501395825/itjrb3ayy0rgopgi53st.png","https://images.crunchbase.com/image/upload/itjrb3ayy0rgopgi53st.png"
"13","009ebd1c-91cf-0311-dc01-ef0e3b139886","https://res.cloudinary.com/crunchbase-production/image/upload/v1485257616/go0qqfynhj3kwt3f1ejc.jpg","https://images.crunchbase.com/image/upload/go0qqfynhj3kwt3f1ejc.jpg"
"15","00a2c49d-660c-438f-a1af-2d50441882f0","https://res.cloudinary.com/crunchbase-production/image/upload/svlls5capfeoyl9wzrro","https://images.crunchbase.com/image/upload/svlls5capfeoyl9wzrro"
"16","00a3df33-aa57-87a4-fd78-974841bcb1f5","https://res.cloudinary.com/crunchbase-production/image/upload/v1457677986/zooakmyvsxrezv6ynlsy.jpg","https://images.crunchbase.com/image/upload/zooakmyvsxrezv6ynlsy.jpg"
"17","00bef514-50ca-408e-93c0-dd60f614879c","https://res.cloudinary.com/crunchbase-production/image/upload/yp3vergalrub5kbove9g","https://images.crunchbase.com/image/upload/yp3vergalrub5kbove9g"
"18","00e4a298-d825-382c-d4b2-ed77ca1937c1","https://res.cloudinary.com/crunchbase-production/image/upload/v1409566750/loawomyjpm4y9ce2ko5a.jpg","https://images.crunchbase.com/image/upload/loawomyjpm4y9ce2ko5a.jpg"
"19","00e8fea5-b11c-fd2f-4e5d-814d64e7c4ff","https://res.cloudinary.com/crunchbase-production/image/upload/v1464177863/ejxpllw8jwgeu16sl2kc.png","https://images.crunchbase.com/image/upload/ejxpllw8jwgeu16sl2kc.png"
"20","01136384-60a4-4930-bb9a-f59b015b9db1","https://res.cloudinary.com/crunchbase-production/image/upload/lp9dpdornqyzt7lqclvv","https://images.crunchbase.com/image/upload/lp9dpdornqyzt7lqclvv"
"21","0131f56d-9271-1bb3-9a3b-caecdfbe0a3e","https://res.cloudinary.com/crunchbase-production/image/upload/bzikrxrtowbr6u5hh6bw","https://images.crunchbase.com/image/upload/bzikrxrtowbr6u5hh6bw"
"22","016fdf17-615d-4482-8d8a-d329ad50c077","https://res.cloudinary.com/crunchbase-production/image/upload/cbiww6suumdl58itxhbw","https://images.crunchbase.com/image/upload/cbiww6suumdl58itxhbw"
"24","019447f3-134c-8565-5196-ccaf26a3fa7d","https://res.cloudinary.com/crunchbase-production/image/upload/v1428646613/hgrewnotg1np8ao1ps41.jpg","https://images.crunchbase.com/image/upload/hgrewnotg1np8ao1ps41.jpg"
